DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,22.07,90.66,15.71,2.33
2023-06-12,22.51,89.7,7.42,1.96
2023-06-13,23.56,84.51,7.51,6.17
2023-06-14,22.57,88.99,4.28,2.85
2023-06-15,21.96,88.22,40.49,2.33
2023-06-16,23.22,78.9,4.54,6.95
2023-06-17,23.42,74.08,0.02,8.26
2023-06-18,23.95,82.35,0.33,5.53
2023-06-19,21.97,83.94,2.2,4.65
2023-06-20,20.96,79.76,0.23,4.96
2023-06-21,21.44,76.84,0.0,5.43
2023-06-22,20.84,85.33,34.0,2.19
2023-06-23,22.15,87.77,4.29,3.5
2023-06-24,24.09,83.5,0.28,5.37
2023-06-25,24.67,83.5,0.36,6.04
2023-06-26,24.95,84.39,0.6,5.16
2023-06-27,24.74,88.25,0.79,4.27
2023-06-28,25.59,89.48,4.55,5.87
2023-06-29,26.4,85.53,9.82,6.72
2023-06-30,25.57,89.58,5.14,3.29
2023-07-01,25.72,89.85,17.83,2.33
2023-07-02,25.57,76.91,16.91,7.8
2023-07-03,26.06,85.15,1.37,6.33
2023-07-04,24.77,84.9,3.88,6.1
2023-07-05,24.08,87.91,3.94,3.9
2023-07-06,26.35,83.52,5.64,6.93
2023-07-07,26.64,81.95,0.26,6.58
2023-07-08,26.65,89.81,0.96,3.41
2023-07-09,27.12,89.4,0.72,3.79
2023-07-10,28.18,84.83,1.19,7.38
2023-07-11,28.36,82.83,1.88,7.73
2023-07-12,27.31,87.17,1.27,7.34
2023-07-13,26.45,90.16,8.7,2.49
2023-07-14,26.76,86.38,5.11,3.92
2023-07-15,26.81,86.95,0.17,3.83
2023-07-16,28.03,83.2,0.18,7.79
2023-07-17,28.95,77.46,0.29,7.54
2023-07-18,29.86,74.26,0.07,6.95
2023-07-19,28.23,81.6,0.43,5.71
2023-07-20,25.92,85.67,11.38,5.02
2023-07-21,25.85,81.46,0.18,5.49
2023-07-22,25.71,78.57,0.01,6.45
2023-07-23,25.81,77.36,0.01,7.64
2023-07-24,26.55,78.49,0.0,7.6
2023-07-25,27.62,77.35,0.0,7.59
