DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,27.0,89.14,22.21,2.96
2023-06-12,26.47,91.12,4.18,6.85
2023-06-13,26.3,95.09,4.35,5.92
2023-06-14,26.5,94.68,2.68,4.5
2023-06-15,26.5,95.8,1.36,5.93
2023-06-16,26.34,91.98,1.99,4.87
2023-06-17,26.5,90.52,6.83,6.59
2023-06-18,26.82,89.39,4.74,5.92
2023-06-19,26.75,89.0,5.02,3.89
2023-06-20,26.33,90.89,24.85,1.61
2023-06-21,26.45,91.1,3.18,4.89
2023-06-22,26.77,88.46,1.03,6.94
2023-06-23,26.95,86.26,0.62,7.46
2023-06-24,26.76,90.39,0.71,7.99
2023-06-25,26.83,90.5,2.24,7.94
2023-06-26,27.19,87.56,0.3,7.98
2023-06-27,27.35,82.29,0.24,7.94
2023-06-28,27.0,81.74,0.24,7.48
2023-06-29,27.34,78.61,0.1,7.77
2023-06-30,28.09,75.29,0.15,7.55
2023-07-01,28.02,73.1,0.0,7.8
2023-07-02,27.65,79.6,0.01,7.92
2023-07-03,28.37,82.45,1.81,7.25
2023-07-04,28.0,87.74,6.78,5.16
2023-07-05,27.96,90.05,4.15,6.1
2023-07-06,28.03,92.07,0.96,7.31
2023-07-07,28.63,85.47,0.35,7.52
2023-07-08,28.5,84.63,0.68,7.84
2023-07-09,28.49,86.66,1.34,7.27
2023-07-10,28.93,84.6,0.5,7.98
2023-07-11,28.91,85.15,0.29,7.87
2023-07-12,28.62,82.88,0.43,6.53
2023-07-13,29.03,79.19,0.08,7.67
2023-07-14,28.79,80.91,0.02,7.91
2023-07-15,28.39,83.79,0.02,7.92
2023-07-16,28.74,84.49,0.17,7.32
2023-07-17,29.24,82.2,0.04,7.84
2023-07-18,29.38,79.56,0.07,7.42
2023-07-19,28.4,81.88,0.05,7.67
2023-07-20,28.03,80.86,0.1,7.11
2023-07-21,28.58,82.99,1.44,7.44
2023-07-22,29.04,82.41,4.61,6.88
2023-07-23,28.64,83.91,9.49,2.38
2023-07-24,28.52,84.45,7.75,6.55
2023-07-25,28.91,84.04,9.55,4.59
2023-07-26,28.83,83.78,12.51,2.88
2023-07-27,28.7,82.11,9.32,4.29
2023-07-28,28.8,84.52,6.55,7.21
2023-07-29,28.87,85.85,9.96,6.51
2023-07-30,28.14,86.96,18.24,2.36
2023-07-31,28.64,89.55,15.11,3.96
2023-08-01,28.13,90.54,4.26,5.05
2023-08-02,27.57,90.79,17.55,2.22
2023-08-03,27.3,91.42,72.38,1.85
2023-08-04,27.72,93.21,46.1,5.43
2023-08-05,27.94,92.01,28.11,4.55
2023-08-06,27.61,92.53,11.39,5.08
2023-08-07,27.18,91.75,1.33,3.77
2023-08-08,27.15,95.17,2.14,4.7
2023-08-09,27.21,96.48,2.46,6.56
2023-08-10,27.49,95.11,1.21,6.55
2023-08-11,27.85,89.93,0.55,7.23
2023-08-12,27.87,89.67,0.76,7.07
2023-08-13,27.95,86.63,0.34,7.01
2023-08-14,28.02,82.75,0.12,7.2
2023-08-15,28.1,83.46,0.46,5.48
2023-08-16,28.45,88.4,2.31,6.34
2023-08-17,28.42,88.28,1.19,7.01
2023-08-18,29.13,81.19,1.34,7.4
2023-08-19,29.34,83.64,1.87,7.13
2023-08-20,28.91,82.89,0.18,7.1
2023-08-21,28.45,84.93,0.51,7.1
2023-08-22,28.55,84.83,1.15,6.92
2023-08-23,29.07,83.54,0.72,6.56
2023-08-24,28.89,80.31,1.61,6.93
2023-08-25,28.07,83.79,3.44,5.06
2023-08-26,28.08,83.34,12.09,2.51
2023-08-27,28.48,77.34,6.08,6.31
2023-08-28,29.31,76.76,1.24,6.87
2023-08-29,29.1,86.0,6.01,6.37
2023-08-30,29.08,87.89,18.32,1.92
2023-08-31,29.1,87.5,21.59,3.14
2023-09-01,29.32,83.02,9.15,5.91
2023-09-02,28.94,80.09,1.36,6.96
2023-09-03,28.81,76.95,0.4,6.99
2023-09-04,28.71,79.12,2.5,6.76
2023-09-05,28.77,85.59,41.79,2.69
2023-09-06,28.91,85.76,3.6,1.56
2023-09-07,28.94,84.66,2.04,6.19
2023-09-08,28.4,84.35,1.97,5.87
2023-09-09,27.61,85.05,4.61,4.98
2023-09-10,27.64,83.19,8.06,3.77
2023-09-11,28.43,80.88,2.85,6.42
2023-09-12,28.17,85.51,5.29,6.29
2023-09-13,28.21,83.89,0.49,6.54
2023-09-14,28.52,81.56,0.28,6.49
2023-09-15,28.46,80.53,0.16,6.42
2023-09-16,28.24,82.49,0.75,6.31
2023-09-17,28.45,82.45,0.35,4.84
2023-09-18,28.68,80.61,0.31,6.27
2023-09-19,29.06,82.08,0.87,6.29
2023-09-20,28.92,82.14,0.49,5.42
2023-09-21,28.82,82.83,0.26,6.42
2023-09-22,28.8,80.59,0.1,6.47
2023-09-23,28.86,79.24,0.37,6.42
2023-09-24,28.58,78.26,0.02,5.8
2023-09-25,28.58,81.62,0.24,6.23
2023-09-26,28.68,83.8,0.49,6.0
2023-09-27,29.28,83.63,1.17,5.5
2023-09-28,29.28,84.17,1.33,5.88
2023-09-29,29.06,85.54,0.88,6.0
2023-09-30,29.61,84.15,3.2,5.94
2023-10-01,29.41,84.59,4.87,5.64
2023-10-02,28.93,85.72,5.29,4.1
2023-10-03,29.09,85.92,7.35,2.25
2023-10-04,29.28,84.67,11.74,4.15
2023-10-05,29.25,85.3,3.86,5.2
2023-10-06,28.75,82.48,7.82,5.03
2023-10-07,28.38,79.15,1.59,5.32
2023-10-08,28.21,75.91,0.02,6.01
2023-10-09,28.45,77.49,0.19,5.6
2023-10-10,28.69,76.28,0.62,4.54
2023-10-11,28.13,81.6,2.06,4.76
2023-10-12,28.28,77.05,0.5,4.39
