DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2022-06-11,25.08,82.24,13.7,4.61
2022-06-12,25.43,76.54,3.16,5.31
2022-06-13,26.18,72.12,0.92,6.3
2022-06-14,26.77,67.12,0.26,6.51
2022-06-15,26.38,74.37,1.78,6.58
2022-06-16,25.98,77.15,5.65,5.78
2022-06-17,25.73,77.13,3.68,4.85
2022-06-18,25.7,74.4,3.03,5.5
2022-06-19,25.64,81.28,16.32,4.55
2022-06-20,25.46,81.61,9.69,2.46
2022-06-21,25.11,83.45,6.85,3.39
2022-06-22,25.36,83.31,11.24,4.32
2022-06-23,25.06,78.95,13.46,4.21
2022-06-24,24.21,86.16,11.14,3.71
2022-06-25,24.15,91.41,9.82,4.21
2022-06-26,24.45,88.86,15.06,4.05
2022-06-27,24.39,86.25,13.7,2.69
2022-06-28,24.92,84.11,9.09,3.48
2022-06-29,24.9,86.89,20.41,4.71
2022-06-30,24.04,87.92,28.71,3.25
2022-07-01,24.23,88.76,33.1,2.63
2022-07-02,24.56,86.91,17.97,4.09
2022-07-03,24.7,86.08,13.19,4.42
2022-07-04,24.02,91.92,41.88,3.07
2022-07-05,23.62,92.13,61.67,1.91
2022-07-06,24.1,90.07,55.4,2.22
2022-07-07,23.48,91.74,36.87,1.81
2022-07-08,23.31,93.76,48.67,2.01
2022-07-09,23.49,92.05,33.7,1.3
2022-07-10,22.95,94.61,41.09,2.44
2022-07-11,22.96,94.98,63.9,1.58
2022-07-12,22.57,94.79,60.15,1.76
2022-07-13,22.56,95.44,78.23,0.98
2022-07-14,22.51,95.35,81.98,1.79
2022-07-15,22.85,93.61,31.37,2.2
2022-07-16,23.56,92.63,27.59,3.03
2022-07-17,23.9,91.97,14.72,3.84
2022-07-18,22.69,94.22,14.52,2.16
2022-07-19,23.5,91.77,14.54,3.59
2022-07-20,23.43,91.13,9.52,3.08
2022-07-21,23.24,91.88,8.5,3.58
2022-07-22,23.04,92.02,6.07,4.02
2022-07-23,23.29,92.97,17.64,3.04
2022-07-24,23.33,91.95,16.73,2.75
2022-07-25,23.08,91.24,11.58,3.53
2022-07-26,23.33,90.46,4.9,3.03
2022-07-27,23.92,88.82,12.17,4.02
