DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-12,19.14,91.59,9.77,4.38
2023-06-13,19.49,74.12,0.02,7.89
2023-06-14,18.94,83.0,3.24,4.37
2023-06-15,19.5,75.32,0.06,6.35
2023-06-16,18.97,84.33,5.67,3.22
2023-06-17,19.5,74.33,0.55,6.44
2023-06-18,20.67,70.77,0.06,6.86
2023-06-19,19.9,83.61,0.15,6.93
2023-06-20,18.52,85.09,0.13,5.55
2023-06-21,17.87,77.88,0.2,4.9
2023-06-22,17.47,84.91,2.04,3.04
2023-06-23,18.98,92.41,1.0,2.27
2023-06-24,21.01,93.15,12.43,4.24
2023-06-25,21.82,89.89,4.25,5.29
2023-06-26,21.03,96.24,15.08,3.47
2023-06-27,20.98,94.67,6.14,3.72
2023-06-28,21.86,87.82,3.5,5.63
2023-06-29,21.66,79.75,0.05,6.62
2023-06-30,22.03,85.52,0.07,5.89
2023-07-01,21.68,88.38,0.26,5.85
2023-07-02,23.39,91.33,4.07,5.02
2023-07-03,24.91,87.23,6.17,6.28
2023-07-04,24.99,86.02,6.24,5.14
2023-07-05,25.18,82.78,0.86,7.57
2023-07-06,24.78,87.62,0.79,7.73
2023-07-07,24.74,88.77,2.38,4.96
2023-07-08,24.79,88.48,4.03,4.56
2023-07-09,24.32,91.05,22.17,2.5
2023-07-10,25.16,81.0,29.34,5.9
2023-07-11,25.19,72.24,0.0,7.84
2023-07-12,25.94,75.87,0.11,7.26
2023-07-13,25.81,86.03,1.36,6.26
2023-07-14,25.38,88.93,10.13,5.26
2023-07-15,25.55,88.86,6.6,5.48
2023-07-16,24.79,95.68,30.41,1.81
2023-07-17,25.43,87.01,0.12,5.85
2023-07-18,25.28,90.52,4.75,5.26
2023-07-19,23.97,87.69,11.51,3.67
2023-07-20,24.67,78.54,0.82,6.38
2023-07-21,24.9,86.74,6.13,6.43
2023-07-22,24.15,72.89,0.03,7.33
2023-07-23,24.78,72.2,0.23,7.24
2023-07-24,24.45,83.42,2.75,5.94
2023-07-25,24.63,86.94,16.67,4.63
