DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,22.53,70.39,4.79,5.01
2023-06-12,21.9,70.24,1.86,6.27
2023-06-13,22.01,58.3,0.03,8.0
2023-06-14,21.09,54.04,0.0,8.19
2023-06-15,21.06,57.65,0.0,7.44
2023-06-16,22.18,53.18,0.0,6.97
2023-06-17,22.99,59.35,0.82,5.2
2023-06-18,21.69,79.33,13.72,4.87
2023-06-19,20.0,79.19,7.32,4.23
2023-06-20,20.98,83.46,1.49,4.41
2023-06-21,22.1,71.37,0.38,6.02
2023-06-22,18.86,84.11,10.32,2.77
2023-06-23,20.93,68.87,0.11,7.4
2023-06-24,22.0,65.97,0.0,8.1
2023-06-25,24.02,61.79,0.0,8.36
2023-06-26,19.3,63.24,0.0,6.8
2023-06-27,19.2,65.02,0.0,6.52
2023-06-28,20.92,63.25,0.0,6.28
2023-06-29,20.68,72.13,1.17,3.31
2023-06-30,19.06,60.99,0.15,6.11
2023-07-01,19.23,70.94,3.22,4.71
2023-07-02,18.88,61.93,0.03,6.12
2023-07-03,18.84,63.62,0.49,5.79
2023-07-04,18.68,71.38,5.0,5.33
2023-07-05,16.72,69.89,3.79,5.7
2023-07-06,19.44,57.36,0.0,7.55
2023-07-07,23.14,55.3,0.04,6.38
2023-07-08,25.27,64.08,0.39,7.35
2023-07-09,21.57,82.74,6.51,4.43
2023-07-10,22.34,62.84,0.06,7.03
2023-07-11,23.54,56.65,0.08,6.87
2023-07-12,20.05,62.55,0.46,6.48
2023-07-13,19.36,63.83,0.33,5.29
2023-07-14,22.28,53.62,0.01,7.03
2023-07-15,21.42,60.96,1.06,3.69
2023-07-16,19.64,58.57,0.15,6.37
2023-07-17,19.1,60.56,0.26,6.73
2023-07-18,21.7,56.32,0.0,6.65
2023-07-19,20.34,61.0,0.0,5.98
2023-07-20,19.54,65.25,0.32,6.17
2023-07-21,18.9,60.2,0.82,5.47
2023-07-22,19.52,54.2,0.0,6.31
2023-07-23,19.13,71.84,3.85,3.56
2023-07-24,19.53,74.1,10.9,4.56
2023-07-25,16.52,72.91,8.79,3.67
2023-07-26,17.9,67.87,0.43,5.85
2023-07-27,19.97,78.28,5.59,3.56
2023-07-28,20.6,84.55,13.19,2.9
2023-07-29,20.01,78.28,6.46,4.37
2023-07-30,19.31,68.31,0.5,5.37
2023-07-31,19.04,77.95,12.81,3.36
2023-08-01,18.94,77.71,6.37,4.87
2023-08-02,19.57,76.48,15.4,4.69
2023-08-03,16.9,85.83,8.41,2.99
2023-08-04,17.13,78.75,1.39,4.7
2023-08-05,15.9,79.49,2.23,3.11
2023-08-06,16.12,69.49,0.61,4.93
2023-08-07,16.85,71.68,0.07,5.56
2023-08-08,17.8,71.7,0.01,5.08
2023-08-09,19.43,77.52,0.25,4.12
2023-08-10,21.14,69.43,0.01,5.27
2023-08-11,22.25,76.76,7.68,5.25
2023-08-12,21.18,76.16,5.79,4.47
2023-08-13,19.25,67.21,0.03,5.27
2023-08-14,21.26,68.08,0.64,4.38
2023-08-15,20.93,73.83,0.42,4.53
2023-08-16,20.74,72.16,0.02,4.24
2023-08-17,22.06,75.77,0.26,5.87
2023-08-18,24.06,70.94,0.81,4.26
2023-08-19,23.52,70.85,0.35,3.48
2023-08-20,23.71,67.14,0.03,6.09
2023-08-21,21.86,65.86,0.01,6.5
2023-08-22,23.62,63.38,0.0,5.93
2023-08-23,24.41,64.58,0.01,5.17
2023-08-24,22.15,75.44,8.33,2.32
2023-08-25,20.3,75.04,0.62,2.42
2023-08-26,17.5,68.51,0.74,4.83
2023-08-27,16.41,72.77,0.46,4.92
2023-08-28,16.39,73.48,0.57,3.79
2023-08-29,16.6,70.91,0.1,4.14
2023-08-30,15.96,70.94,0.49,3.42
2023-08-31,15.89,81.03,5.25,2.57
2023-09-01,19.16,81.89,2.96,3.31
2023-09-02,21.34,71.21,0.09,5.46
2023-09-03,22.79,69.64,0.02,5.29
2023-09-04,22.06,61.67,0.01,5.55
2023-09-05,24.62,57.23,0.0,5.27
2023-09-06,24.09,57.54,0.0,5.66
2023-09-07,23.5,57.06,0.01,5.63
2023-09-08,26.4,50.17,0.0,5.4
2023-09-09,25.95,54.21,0.0,5.4
2023-09-10,26.42,50.15,0.0,5.25
2023-09-11,23.63,69.19,0.7,3.77
2023-09-12,19.28,89.69,11.87,1.55
2023-09-13,19.21,78.62,0.43,2.8
2023-09-14,18.7,74.63,0.05,4.22
2023-09-15,20.12,65.05,0.0,5.06
2023-09-16,20.52,72.28,0.04,3.31
2023-09-17,20.55,80.46,2.55,3.36
2023-09-18,19.06,76.65,6.49,4.06
2023-09-19,17.33,72.92,0.03,3.75
2023-09-20,19.76,69.33,0.07,4.2
2023-09-21,16.33,84.29,22.77,1.23
2023-09-22,13.11,83.06,5.39,3.17
2023-09-23,13.44,75.91,0.19,3.8
2023-09-24,14.12,67.07,0.0,4.75
2023-09-25,16.14,69.87,0.01,4.28
2023-09-26,16.46,70.65,0.0,3.8
2023-09-27,18.07,72.72,0.05,3.65
2023-09-28,17.81,81.97,0.05,3.51
2023-09-29,17.58,78.24,0.23,2.6
2023-09-30,15.24,79.21,0.05,3.53
2023-10-01,18.1,71.61,0.01,4.17
2023-10-02,19.42,67.15,0.03,4.0
2023-10-03,16.75,76.56,2.61,2.41
2023-10-04,13.52,77.92,0.09,3.29
2023-10-05,13.66,72.88,0.03,3.02
2023-10-06,13.93,66.52,0.03,3.91
2023-10-07,15.9,70.5,0.01,3.71
2023-10-08,17.96,66.54,0.03,3.68
2023-10-09,18.01,67.07,0.07,3.53
2023-10-10,18.14,65.07,0.0,3.43
2023-10-11,17.69,69.4,0.0,3.41
2023-10-12,18.08,85.32,2.01,1.92
2023-10-13,18.86,74.92,0.74,2.4
2023-10-14,12.59,73.34,0.58,2.05
2023-10-15,9.22,70.32,0.04,3.2
2023-10-16,7.96,69.03,0.0,2.85
