DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,31.08,65.9,0.67,5.67
2023-06-12,31.06,65.33,6.14,5.3
2023-06-13,30.41,68.85,2.62,5.7
2023-06-14,30.44,69.54,10.22,5.93
2023-06-15,30.3,71.44,3.32,6.17
2023-06-16,30.27,73.47,2.52,4.54
2023-06-17,29.98,74.15,1.75,5.38
2023-06-18,29.82,74.36,0.6,5.61
2023-06-19,29.93,73.52,0.3,5.54
2023-06-20,30.1,73.31,0.37,6.22
2023-06-21,29.99,72.87,0.38,6.08
2023-06-22,29.93,73.01,1.49,6.35
2023-06-23,29.89,72.31,2.76,6.58
2023-06-24,28.09,84.46,55.03,4.12
2023-06-25,27.97,84.09,48.76,2.82
2023-06-26,27.25,84.99,60.95,1.68
2023-06-27,26.25,87.71,64.05,2.76
2023-06-28,27.11,87.84,55.61,1.08
2023-06-29,26.83,84.97,20.18,2.46
2023-06-30,26.79,90.88,98.85,1.26
2023-07-01,27.0,89.98,37.16,1.41
2023-07-02,27.56,88.65,26.88,3.44
2023-07-03,27.63,89.9,40.78,5.54
2023-07-04,27.26,91.89,33.35,2.57
2023-07-05,27.05,90.24,18.17,2.68
2023-07-06,26.59,91.41,41.31,2.94
2023-07-07,27.11,93.43,58.42,4.59
2023-07-08,27.09,89.74,24.86,4.7
2023-07-09,26.84,89.38,13.56,3.71
2023-07-10,26.98,88.89,6.49,5.3
2023-07-11,26.95,88.96,5.06,4.46
2023-07-12,27.05,89.6,8.38,2.87
2023-07-13,27.02,89.12,23.03,4.46
2023-07-14,27.05,90.31,30.68,2.6
2023-07-15,27.03,89.76,14.66,4.63
2023-07-16,26.84,91.59,25.31,3.33
2023-07-17,26.91,90.12,52.73,2.24
2023-07-18,26.62,92.45,129.54,1.76
2023-07-19,26.36,92.73,136.7,1.06
2023-07-20,26.23,92.97,63.91,2.55
2023-07-21,25.9,93.01,78.36,2.61
2023-07-22,25.89,93.97,60.22,1.81
2023-07-23,26.51,92.77,48.71,3.05
2023-07-24,26.58,92.2,61.74,3.62
2023-07-25,26.07,93.85,60.93,3.12
2023-07-26,26.16,93.55,112.09,1.97
2023-07-27,26.18,93.2,80.52,1.58
2023-07-28,26.27,92.03,52.54,2.45
2023-07-29,26.31,90.8,25.27,3.76
2023-07-30,26.2,91.69,18.35,4.89
2023-07-31,26.45,91.64,15.75,4.44
2023-08-01,26.35,91.56,16.14,3.4
2023-08-02,26.03,91.66,7.61,3.0
2023-08-03,26.02,90.48,5.84,3.54
2023-08-04,26.36,90.24,13.43,2.97
2023-08-05,26.13,90.23,8.19,4.45
2023-08-06,26.06,89.87,5.59,3.76
2023-08-07,25.96,89.58,3.39,3.93
2023-08-08,26.17,89.06,4.73,4.04
2023-08-09,26.12,90.39,5.86,4.29
2023-08-10,26.0,90.12,9.57,5.27
2023-08-11,26.32,87.94,4.05,5.17
2023-08-12,26.13,87.7,4.83,5.03
2023-08-13,25.74,89.2,5.99,5.42
2023-08-14,25.92,88.41,2.91,5.15
2023-08-15,26.09,87.29,2.44,4.96
2023-08-16,26.13,87.73,3.93,5.1
2023-08-17,26.2,87.82,2.77,5.53
2023-08-18,26.09,88.29,2.64,4.67
2023-08-19,26.44,88.07,6.83,3.2
2023-08-20,26.32,88.64,8.01,3.22
2023-08-21,26.13,87.58,4.27,5.75
2023-08-22,26.19,88.66,9.25,3.09
2023-08-23,26.32,89.56,6.84,4.26
2023-08-24,26.7,89.74,12.16,5.28
2023-08-25,26.95,89.63,17.75,5.29
2023-08-26,26.81,89.06,19.21,5.25
2023-08-27,26.79,88.54,18.6,5.05
2023-08-28,26.22,90.29,10.12,5.89
2023-08-29,26.37,87.35,1.43,6.17
2023-08-30,26.58,85.33,0.25,6.44
2023-08-31,26.63,86.41,0.28,6.62
2023-09-01,26.94,87.1,10.61,6.25
2023-09-02,25.86,90.45,23.17,2.82
2023-09-03,26.19,87.68,3.75,1.82
2023-09-04,26.06,87.53,1.19,6.17
2023-09-05,26.16,86.33,0.67,6.18
2023-09-06,26.25,88.92,3.23,5.73
2023-09-07,25.75,92.71,69.38,1.95
2023-09-08,26.26,92.93,66.91,1.2
2023-09-09,26.76,91.55,14.62,3.24
2023-09-10,27.02,90.72,5.8,5.21
2023-09-11,26.87,89.74,3.58,5.98
2023-09-12,26.54,88.44,1.38,5.77
2023-09-13,26.31,88.64,4.79,5.89
2023-09-14,26.48,87.4,6.99,5.47
2023-09-15,26.66,88.49,2.06,4.88
2023-09-16,26.63,91.14,7.68,2.57
2023-09-17,27.13,89.42,9.28,3.6
2023-09-18,27.14,89.08,16.68,4.31
2023-09-19,27.13,88.69,12.85,5.53
2023-09-20,27.19,90.8,18.3,4.7
2023-09-21,26.93,92.2,31.49,3.46
2023-09-22,26.7,91.06,17.51,3.59
2023-09-23,26.13,93.22,32.05,2.89
2023-09-24,25.92,91.28,13.16,2.89
2023-09-25,26.02,91.69,14.84,3.67
2023-09-26,26.09,91.69,19.45,5.47
2023-09-27,26.76,91.89,20.73,4.0
2023-09-28,27.18,90.49,17.43,3.5
2023-09-29,27.71,86.97,16.05,3.99
2023-09-30,27.24,90.18,18.01,4.41
2023-10-01,26.72,92.56,13.51,4.18
2023-10-02,26.33,88.89,10.45,4.62
2023-10-03,26.24,85.85,0.01,5.74
2023-10-04,26.26,86.57,0.0,5.99
2023-10-05,25.82,87.03,0.01,5.97
2023-10-06,26.09,85.84,0.04,5.91
2023-10-07,26.49,86.21,0.0,5.78
2023-10-08,27.15,83.12,0.0,5.68
2023-10-09,26.84,82.8,0.0,5.82
2023-10-10,25.99,83.43,0.0,5.97
2023-10-11,26.17,81.64,0.0,5.94
2023-10-12,27.44,77.74,0.0,5.36
2023-10-13,27.74,76.37,0.05,5.35
2023-10-14,27.78,72.26,0.08,5.33
2023-10-15,27.44,77.19,0.21,5.24
2023-10-16,27.76,76.57,0.4,4.41
2023-10-17,27.63,75.47,0.45,4.96
2023-10-18,26.96,77.28,0.04,5.03
2023-10-19,27.04,75.36,0.01,5.51
2023-10-20,27.72,74.32,0.02,4.98
2023-10-21,27.46,76.12,0.01,4.69
2023-10-22,27.48,77.2,0.05,5.02
2023-10-23,26.83,73.63,0.0,5.2
2023-10-24,26.68,73.59,0.0,5.1
2023-10-25,25.92,71.17,0.0,5.26
2023-10-26,25.32,65.69,0.0,5.34
2023-10-27,24.73,64.9,0.0,5.47
2023-10-28,25.12,64.73,0.0,5.33
2023-10-29,25.26,63.93,0.0,5.14
2023-10-30,25.0,65.25,0.0,5.01
2023-10-31,24.78,67.0,0.0,4.85
2023-11-01,24.59,70.12,0.0,5.15
2023-11-02,24.93,69.93,0.0,5.07
2023-11-03,25.31,69.14,0.0,4.72
2023-11-04,25.78,66.62,0.0,4.51
2023-11-05,26.29,72.09,0.01,4.52
2023-11-06,25.16,71.9,0.01,4.63
2023-11-07,25.66,76.32,0.0,4.71
2023-11-08,26.07,81.78,3.53,4.25
2023-11-09,26.56,82.13,0.72,4.54
2023-11-10,25.68,86.64,11.2,4.41
2023-11-11,26.08,74.28,1.33,4.48
2023-11-12,25.8,70.49,0.0,4.46
2023-11-13,24.98,70.54,0.0,4.7
2023-11-14,24.93,67.93,0.0,4.54
2023-11-15,24.24,68.0,0.0,4.88
2023-11-16,24.22,66.02,0.0,4.75
2023-11-17,23.92,66.33,0.0,4.23
