DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2022-06-11,37.19,28.37,0.0,7.73
2022-06-12,37.36,30.25,0.0,7.71
2022-06-13,36.71,35.66,1.79,6.58
2022-06-14,34.09,50.15,6.89,6.1
2022-06-15,36.59,39.58,0.01,7.61
2022-06-16,37.39,35.91,0.0,7.49
2022-06-17,36.67,37.07,2.87,7.34
2022-06-18,32.45,57.39,11.12,5.43
2022-06-19,31.73,60.27,8.48,4.29
2022-06-20,31.03,57.96,6.29,5.09
2022-06-21,29.57,66.3,11.18,3.81
2022-06-22,30.96,58.41,3.08,5.97
2022-06-23,32.77,43.75,0.0,6.76
2022-06-24,34.43,31.45,0.0,7.42
2022-06-25,36.68,23.63,0.0,7.69
2022-06-26,36.94,24.11,0.0,7.96
2022-06-27,37.96,31.15,0.09,7.03
2022-06-28,39.53,29.57,0.16,7.09
2022-06-29,38.76,35.07,0.4,7.07
2022-06-30,37.18,40.44,0.38,6.94
2022-07-01,30.98,72.23,29.23,1.88
2022-07-02,31.19,67.31,5.67,5.07
2022-07-03,31.98,67.59,10.84,3.45
2022-07-04,32.78,62.68,0.85,6.25
2022-07-05,34.84,53.81,0.45,6.7
2022-07-06,35.74,48.41,2.82,6.05
2022-07-07,35.31,51.75,3.75,6.15
2022-07-08,36.72,44.23,0.49,6.97
2022-07-09,35.58,52.28,9.02,6.05
2022-07-10,29.7,83.76,39.8,3.89
2022-07-11,32.61,61.16,0.95,7.5
2022-07-12,35.42,48.87,0.13,6.25
2022-07-13,35.96,47.49,2.87,5.55
2022-07-14,32.37,69.0,23.63,4.02
2022-07-15,29.27,85.72,25.64,4.18
2022-07-16,30.09,76.07,9.68,6.17
2022-07-17,29.88,77.39,12.12,5.63
2022-07-18,31.61,69.33,3.97,5.88
2022-07-19,34.32,57.33,0.7,6.66
2022-07-20,34.84,56.5,1.91,6.8
2022-07-21,33.05,60.36,2.54,5.21
2022-07-22,32.27,63.76,2.98,5.3
2022-07-23,30.55,73.81,10.2,3.49
2022-07-24,30.54,76.31,10.9,6.15
2022-07-25,30.02,77.04,8.8,5.52
2022-07-26,30.09,72.22,4.55,7.07
2022-07-27,31.56,64.47,0.96,6.44
2022-07-28,29.59,79.96,8.69,2.26
2022-07-29,29.86,70.58,2.12,4.06
2022-07-30,30.72,67.03,5.51,5.8
2022-07-31,30.2,68.28,2.49,6.2
2022-08-01,30.21,75.14,4.47,4.78
2022-08-02,32.25,65.77,3.44,6.46
2022-08-03,33.77,54.53,1.22,5.54
2022-08-04,33.07,56.47,1.57,5.28
2022-08-05,32.28,59.71,2.24,4.77
2022-08-06,32.41,59.69,4.24,5.82
2022-08-07,31.64,68.44,19.41,3.82
2022-08-08,29.74,80.09,12.85,6.08
2022-08-09,31.25,68.07,2.22,5.94
2022-08-10,33.07,61.6,0.65,6.9
