DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,35.24,40.13,0.84,6.93
2023-06-12,36.02,39.68,0.0,7.71
2023-06-13,35.98,40.06,0.0,8.0
2023-06-14,35.06,42.58,0.0,7.81
2023-06-15,34.57,41.15,0.04,7.02
2023-06-16,34.09,46.13,1.86,4.82
2023-06-17,31.57,56.88,5.07,3.63
2023-06-18,30.29,66.74,14.85,4.64
2023-06-19,34.53,45.5,0.76,7.22
2023-06-20,36.55,43.79,1.21,7.29
2023-06-21,35.91,43.93,0.43,7.56
2023-06-22,36.11,43.9,0.02,7.71
2023-06-23,36.71,40.22,0.01,7.43
2023-06-24,36.77,44.79,2.2,7.2
2023-06-25,33.77,56.42,3.42,6.35
2023-06-26,32.04,64.88,5.69,6.03
2023-06-27,32.49,57.82,2.5,6.23
2023-06-28,33.23,56.6,5.13,5.53
2023-06-29,32.14,65.32,8.15,6.53
2023-06-30,32.16,65.01,7.69,6.28
2023-07-01,30.75,73.54,6.44,6.15
2023-07-02,33.12,61.07,3.25,6.77
2023-07-03,35.22,49.34,0.41,7.45
2023-07-04,36.75,43.28,0.05,7.53
2023-07-05,33.99,58.63,6.99,6.25
2023-07-06,29.05,76.87,18.3,4.08
2023-07-07,29.14,81.27,8.09,5.65
2023-07-08,28.5,85.5,15.5,5.32
2023-07-09,30.95,70.15,2.42,5.62
2023-07-10,31.62,65.94,1.47,6.68
2023-07-11,33.8,52.97,0.0,6.92
2023-07-12,35.14,46.31,0.02,6.76
2023-07-13,35.26,50.68,1.58,5.79
2023-07-14,32.6,60.56,5.9,5.48
2023-07-15,33.57,56.27,2.04,6.45
2023-07-16,32.92,60.67,4.55,5.31
2023-07-17,32.84,62.94,6.87,5.0
2023-07-18,33.72,59.28,1.99,5.37
2023-07-19,32.83,64.7,2.54,4.9
2023-07-20,32.32,69.16,11.07,6.11
2023-07-21,31.87,74.65,12.83,4.79
2023-07-22,31.54,75.57,1.54,5.69
2023-07-23,33.49,59.36,0.66,6.65
2023-07-24,32.58,62.68,2.3,5.64
2023-07-25,32.08,67.39,2.53,4.14
2023-07-26,29.6,82.5,11.51,4.48
2023-07-27,29.32,86.32,21.59,4.54
2023-07-28,30.28,76.29,4.35,4.9
2023-07-29,30.15,77.17,8.18,5.08
2023-07-30,31.57,69.48,2.2,7.04
2023-07-31,33.06,59.92,0.81,6.35
2023-08-01,34.02,54.58,0.07,6.54
2023-08-02,33.57,57.27,0.0,7.11
2023-08-03,33.47,58.35,0.0,6.56
2023-08-04,33.7,56.25,0.0,5.9
2023-08-05,33.68,54.6,0.0,6.51
2023-08-06,33.46,55.83,0.0,5.95
2023-08-07,33.05,56.8,0.0,6.38
2023-08-08,32.55,58.71,0.0,6.57
2023-08-09,32.97,57.19,0.0,5.96
2023-08-10,32.49,57.71,0.0,6.21
2023-08-11,32.27,57.38,0.0,6.55
2023-08-12,32.23,56.86,0.0,6.68
2023-08-13,32.63,56.12,0.0,6.51
2023-08-14,32.35,57.87,0.0,5.56
2023-08-15,32.5,56.43,0.0,5.4
2023-08-16,32.97,56.38,0.0,6.65
2023-08-17,32.55,55.94,0.0,6.49
2023-08-18,33.24,49.49,0.0,6.6
2023-08-19,33.45,51.04,1.49,5.38
2023-08-20,34.71,48.85,0.11,4.97
2023-08-21,35.54,46.01,0.0,5.56
2023-08-22,35.45,48.46,0.0,6.71
2023-08-23,32.45,52.89,0.0,5.58
2023-08-24,31.88,53.86,0.0,5.59
2023-08-25,32.23,54.22,0.0,5.8
2023-08-26,31.51,52.65,0.19,5.43
2023-08-27,31.76,54.26,0.03,5.78
