DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,21.55,96.33,2.02,5.67
2023-06-12,22.15,98.22,5.31,5.6
2023-06-13,22.5,96.44,21.42,4.43
2023-06-14,20.83,94.18,0.38,5.38
2023-06-15,21.26,95.46,4.87,2.34
2023-06-16,21.88,97.35,0.18,4.52
2023-06-17,21.03,93.87,0.07,5.56
2023-06-18,20.97,92.88,0.01,7.49
2023-06-19,21.17,93.52,31.7,1.14
2023-06-20,19.87,87.92,4.9,3.85
2023-06-21,21.08,96.37,19.24,3.63
2023-06-22,22.19,98.23,9.48,5.31
2023-06-23,22.4,98.12,0.15,6.86
2023-06-24,22.37,98.32,0.62,6.46
2023-06-25,21.97,95.39,16.11,2.21
2023-06-26,20.82,93.18,1.52,6.93
2023-06-27,20.53,79.89,0.49,7.97
2023-06-28,20.53,68.95,0.17,7.83
2023-06-29,21.02,70.87,0.08,8.16
2023-06-30,22.28,85.62,0.07,8.04
2023-07-01,22.68,95.03,0.22,4.55
2023-07-02,23.11,94.03,0.0,7.67
2023-07-03,23.42,96.63,1.06,6.25
2023-07-04,23.5,96.95,7.01,6.18
2023-07-05,23.95,95.12,20.21,3.27
2023-07-06,23.68,95.19,43.2,3.65
2023-07-07,23.79,96.03,8.11,3.68
2023-07-08,23.66,97.18,3.75,6.21
2023-07-09,23.87,97.75,1.59,6.44
2023-07-10,24.04,97.71,0.11,6.22
2023-07-11,24.25,97.98,0.98,6.03
2023-07-12,24.38,98.01,1.31,6.7
2023-07-13,24.6,97.86,0.31,6.66
2023-07-14,24.58,97.71,2.7,6.18
2023-07-15,24.56,97.37,5.7,6.06
2023-07-16,24.23,86.6,9.62,3.74
2023-07-17,24.86,92.97,8.42,3.92
2023-07-18,24.65,91.89,0.74,6.18
2023-07-19,25.4,94.92,1.82,6.35
2023-07-20,25.69,95.32,1.36,7.13
2023-07-21,25.9,94.19,5.14,6.55
2023-07-22,25.73,94.65,8.25,5.87
2023-07-23,25.65,91.31,7.61,5.85
2023-07-24,26.26,91.0,3.97,6.81
2023-07-25,26.15,91.7,1.03,7.02
2023-07-26,26.25,91.25,3.07,7.33
2023-07-27,26.29,91.29,2.84,6.61
2023-07-28,26.91,86.6,3.13,5.85
2023-07-29,27.06,80.79,0.76,7.42
2023-07-30,27.42,74.66,0.2,7.82
2023-07-31,27.4,79.76,0.18,7.61
2023-08-01,27.31,84.04,0.23,7.63
2023-08-02,28.06,82.03,0.94,6.22
2023-08-03,27.21,85.78,10.99,1.9
2023-08-04,27.31,87.78,1.72,7.16
2023-08-05,26.9,87.97,0.77,6.95
2023-08-06,27.01,87.19,2.4,4.28
2023-08-07,27.23,85.53,1.01,7.24
2023-08-08,27.34,85.49,1.38,7.08
2023-08-09,27.12,84.2,0.4,7.49
2023-08-10,27.14,85.32,1.22,6.51
2023-08-11,27.1,87.64,5.43,4.37
2023-08-12,27.28,87.16,1.27,6.58
2023-08-13,27.34,88.57,0.48,7.32
2023-08-14,27.27,88.52,2.07,6.77
2023-08-15,26.45,88.32,24.78,3.33
2023-08-16,26.42,85.83,1.44,6.0
2023-08-17,27.27,87.45,2.29,6.9
2023-08-18,27.65,87.44,1.77,6.59
2023-08-19,27.7,88.37,2.12,6.72
2023-08-20,28.04,84.1,0.02,7.02
2023-08-21,27.16,87.22,0.08,6.91
2023-08-22,26.44,86.69,0.08,6.62
2023-08-23,27.13,86.45,0.12,6.96
2023-08-24,27.27,84.49,0.46,6.87
2023-08-25,27.15,84.77,1.17,6.47
2023-08-26,27.68,81.76,1.4,4.6
2023-08-27,28.11,84.4,2.63,4.89
2023-08-28,28.02,88.4,6.82,6.09
2023-08-29,28.01,85.89,1.58,6.69
2023-08-30,26.89,87.16,2.67,5.98
2023-08-31,26.51,77.8,1.06,4.4
2023-09-01,26.7,74.34,0.04,6.54
2023-09-02,27.33,81.04,1.37,4.83
2023-09-03,27.75,85.43,3.85,5.33
2023-09-04,27.31,85.35,2.14,3.79
2023-09-05,26.89,75.35,0.02,6.29
2023-09-06,26.96,85.33,1.27,4.29
2023-09-07,27.62,87.63,3.14,5.06
2023-09-08,27.11,84.11,1.5,4.41
2023-09-09,26.01,77.24,0.18,5.85
2023-09-10,25.24,75.44,0.11,5.93
2023-09-11,26.69,84.36,1.78,5.61
2023-09-12,27.11,84.44,2.09,6.08
2023-09-13,26.98,83.25,3.61,5.59
2023-09-14,26.72,88.36,2.86,5.65
2023-09-15,26.57,86.73,2.41,4.1
2023-09-16,27.02,78.7,0.2,6.09
2023-09-17,27.54,72.91,0.08,6.05
2023-09-18,27.35,77.65,0.14,6.12
2023-09-19,27.27,85.06,0.29,5.79
2023-09-20,27.62,84.13,2.36,5.4
2023-09-21,27.56,84.21,0.19,5.88
2023-09-22,27.82,82.4,0.14,5.9
2023-09-23,27.33,84.3,0.65,5.8
2023-09-24,27.35,79.66,4.06,5.67
2023-09-25,26.32,82.1,7.36,3.1
2023-09-26,26.13,84.52,8.07,2.97
2023-09-27,27.03,83.04,5.02,5.46
2023-09-28,26.82,82.81,6.52,4.48
2023-09-29,27.69,82.2,2.51,5.46
2023-09-30,26.07,73.18,0.07,4.31
2023-10-01,27.36,86.21,8.4,2.06
2023-10-02,27.98,88.42,8.76,3.13
2023-10-03,26.33,85.81,42.04,0.98
2023-10-04,24.87,83.4,32.8,1.39
2023-10-05,26.17,85.48,14.87,4.25
2023-10-06,26.17,72.51,3.77,4.36
2023-10-07,24.86,63.47,0.01,4.89
2023-10-08,23.08,71.15,0.03,4.37
2023-10-09,22.92,68.96,0.0,4.03
2023-10-10,25.33,78.37,19.26,2.89
2023-10-11,25.01,82.77,6.26,2.45
2023-10-12,22.7,73.31,3.62,1.29
2023-10-13,23.04,86.15,21.07,0.64
2023-10-14,22.2,76.4,6.41,3.38
2023-10-15,23.34,61.75,0.01,4.64
2023-10-16,24.48,77.37,10.77,1.65
2023-10-17,23.49,76.57,1.8,1.72
2023-10-18,24.02,65.56,0.02,3.8
2023-10-19,22.87,66.3,0.04,4.43
2023-10-20,23.75,84.8,7.65,2.71
2023-10-21,25.32,90.39,8.96,2.28
2023-10-22,23.82,79.52,3.29,1.25
2023-10-23,22.07,77.08,0.14,3.74
2023-10-24,21.58,79.16,4.35,3.51
2023-10-25,23.08,82.11,3.58,2.91
2023-10-26,22.8,78.01,0.64,4.33
2023-10-27,22.37,73.37,0.3,4.06
2023-10-28,21.01,71.46,0.65,4.4
2023-10-29,23.02,68.28,0.31,4.05
2023-10-30,23.23,72.99,0.7,3.85
2023-10-31,22.05,76.64,0.25,3.79
2023-11-01,21.74,68.54,0.02,3.98
2023-11-02,21.89,61.53,0.01,4.21
2023-11-03,21.46,71.57,0.0,4.02
2023-11-04,20.28,71.49,0.0,4.06
2023-11-05,20.56,72.77,0.0,3.67
2023-11-06,21.76,76.06,0.01,3.87
2023-11-07,23.53,80.43,0.28,3.69
2023-11-08,23.02,81.46,3.43,3.35
2023-11-09,21.31,83.37,7.89,1.56
2023-11-10,22.29,81.51,2.55,3.56
2023-11-11,22.7,86.81,7.22,1.97
2023-11-12,19.93,84.3,20.71,0.95
2023-11-13,22.24,82.25,7.86,1.1
2023-11-14,19.24,69.72,2.85,3.51
2023-11-15,19.89,51.0,0.01,2.59
2023-11-16,20.92,67.21,1.33,1.38
2023-11-17,20.85,82.52,1.44,2.34
2023-11-18,23.32,93.58,23.58,1.04
2023-11-19,20.79,67.47,2.72,3.28
2023-11-20,21.65,67.47,0.41,2.74
2023-11-21,18.17,65.02,0.02,2.26
2023-11-22,18.71,58.57,0.09,1.73
2023-11-23,21.39,72.61,2.48,1.65
2023-11-24,22.35,93.91,2.04,3.04
2023-11-25,20.24,75.14,0.33,2.87
2023-11-26,17.23,64.58,0.03,2.64
2023-11-27,20.16,77.46,17.43,1.51
2023-11-28,21.81,94.27,12.37,1.23
2023-11-29,20.28,68.79,1.44,3.19
2023-11-30,20.8,70.14,0.35,2.66
2023-12-01,18.43,75.17,2.62,1.51
2023-12-02,17.89,76.31,3.4,2.21
2023-12-03,17.54,64.55,0.55,3.03
2023-12-04,19.42,65.06,0.51,2.38
2023-12-05,18.6,70.09,0.14,2.36
2023-12-06,19.96,84.89,29.73,1.35
2023-12-07,19.92,77.98,6.61,2.09
2023-12-08,18.98,71.54,1.16,2.08
2023-12-09,17.73,67.33,0.02,2.88
2023-12-10,17.94,57.66,0.0,2.64
2023-12-11,19.38,61.45,0.01,3.24
2023-12-12,20.57,78.76,1.02,2.36
2023-12-13,18.06,79.76,20.34,0.98
2023-12-14,16.67,67.55,0.09,2.37
2023-12-15,18.37,68.85,0.12,2.42
2023-12-16,20.39,82.27,0.04,2.41
2023-12-17,20.63,87.91,5.2,2.47
2023-12-18,16.78,72.39,1.93,2.24
2023-12-19,15.21,71.09,0.99,2.19
2023-12-20,18.68,76.82,14.47,1.48
2023-12-21,19.05,75.58,1.26,1.24
2023-12-22,18.31,76.12,6.43,0.53
2023-12-23,15.53,72.85,5.06,2.34
2023-12-24,14.82,68.04,0.67,1.45
2023-12-25,16.84,79.77,8.73,0.46
2023-12-26,16.34,77.55,8.03,2.15
2023-12-27,17.46,68.8,0.37,2.75
2023-12-28,15.64,66.99,0.1,2.99
2023-12-29,16.25,77.56,9.38,1.88
2023-12-30,16.21,64.94,0.11,2.71
2023-12-31,17.9,71.95,5.99,1.55
2024-01-01,16.84,77.76,6.5,1.52
2024-01-02,12.15,70.32,0.13,1.81
2024-01-03,16.99,73.26,0.41,3.07
2024-01-04,18.71,80.36,3.87,1.17
2024-01-05,13.43,74.46,0.22,2.52
2024-01-06,15.52,67.22,0.03,3.3
2024-01-07,18.51,72.84,4.51,2.1
2024-01-08,15.38,70.52,1.42,2.4
2024-01-09,14.2,66.16,0.09,2.62
2024-01-10,17.85,68.11,0.96,1.27
2024-01-11,14.68,85.36,19.77,0.49
2024-01-12,13.85,74.7,4.21,2.12
