DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2022-06-11,38.01,21.09,0.0,7.08
2022-06-12,38.14,22.37,0.0,6.93
2022-06-13,38.84,23.68,0.0,5.49
2022-06-14,37.68,33.38,0.02,5.2
2022-06-15,38.28,33.36,0.61,7.15
2022-06-16,37.69,36.07,2.25,6.76
2022-06-17,33.98,53.34,12.23,4.79
2022-06-18,31.0,62.79,12.41,4.99
2022-06-19,31.18,60.54,0.98,2.85
2022-06-20,32.33,43.95,0.03,4.58
2022-06-21,31.92,46.1,0.31,4.94
2022-06-22,33.0,46.43,0.63,6.1
2022-06-23,32.79,41.68,0.0,6.89
2022-06-24,33.07,32.6,0.0,7.18
2022-06-25,34.92,28.36,0.0,7.37
2022-06-26,35.53,28.61,0.0,6.55
2022-06-27,36.65,40.21,0.0,5.67
2022-06-28,38.35,37.24,0.02,4.76
2022-06-29,38.83,37.16,1.85,4.99
2022-06-30,31.47,73.01,42.31,1.04
2022-07-01,29.69,76.01,20.98,3.46
2022-07-02,31.55,65.29,2.53,4.99
2022-07-03,33.02,61.84,0.81,5.21
2022-07-04,34.1,59.11,1.0,5.47
2022-07-05,33.52,56.26,0.88,5.31
2022-07-06,34.17,52.48,0.29,5.6
2022-07-07,34.69,51.98,0.06,6.49
2022-07-08,35.55,50.5,0.0,6.59
2022-07-09,33.09,56.77,1.16,3.1
2022-07-10,31.32,63.7,2.16,4.22
2022-07-11,33.5,57.92,2.2,5.68
2022-07-12,32.48,63.0,19.52,3.8
2022-07-13,33.62,59.24,0.56,4.82
2022-07-14,33.73,55.84,2.02,5.66
2022-07-15,34.27,50.56,1.04,6.23
2022-07-16,32.36,59.51,16.86,3.16
2022-07-17,33.7,58.39,1.05,4.96
2022-07-18,34.4,56.96,0.41,6.27
2022-07-19,34.78,57.69,3.07,5.44
2022-07-20,31.61,76.67,30.75,2.48
2022-07-21,29.19,81.95,13.63,3.79
2022-07-22,30.62,72.45,3.05,4.21
2022-07-23,30.46,73.2,6.09,4.4
2022-07-24,30.26,71.05,2.92,5.02
2022-07-25,30.34,69.87,1.89,5.49
2022-07-26,29.84,73.41,3.29,4.83
2022-07-27,29.99,71.16,3.76,4.59
2022-07-28,29.04,81.97,14.66,4.57
2022-07-29,29.03,82.1,17.98,3.24
2022-07-30,29.2,80.14,19.62,3.74
2022-07-31,29.65,77.54,4.48,4.3
2022-08-01,29.74,79.12,5.66,5.01
2022-08-02,30.44,75.88,0.31,5.8
2022-08-03,31.22,70.88,0.59,4.31
2022-08-04,30.11,76.78,6.3,3.73
2022-08-05,29.61,78.16,11.83,3.31
2022-08-06,30.51,74.39,2.67,3.62
2022-08-07,28.61,85.54,8.74,1.61
2022-08-08,30.22,75.27,0.77,5.86
2022-08-09,30.66,72.71,0.45,5.99
2022-08-10,31.73,65.84,0.0,6.49
2022-08-11,28.73,75.98,0.63,2.43
2022-08-12,30.19,68.49,0.04,6.39
2022-08-13,30.63,69.43,0.01,5.19
2022-08-14,30.07,74.93,3.48,3.15
2022-08-15,28.81,74.76,5.79,4.67
2022-08-16,29.13,71.84,1.58,3.65
2022-08-17,29.36,72.36,0.27,5.83
2022-08-18,30.39,70.75,0.01,6.36
2022-08-19,30.52,69.42,0.4,6.01
2022-08-20,29.92,69.49,3.31,3.76
2022-08-21,30.55,67.07,0.31,5.29
2022-08-22,31.04,66.28,3.0,5.08
2022-08-23,30.36,65.91,0.09,5.51
2022-08-24,29.69,67.41,2.44,4.22
2022-08-25,30.27,65.28,0.5,5.35
2022-08-26,29.93,66.85,0.0,5.58
2022-08-27,30.42,65.26,0.02,5.88
2022-08-28,30.74,61.28,0.01,5.71
2022-08-29,31.04,60.3,1.42,4.92
2022-08-30,30.91,65.91,4.45,4.71
2022-08-31,31.93,61.44,0.02,5.55
2022-09-01,32.42,61.15,0.19,5.35
2022-09-02,32.59,56.62,2.41,4.42
2022-09-03,31.96,57.41,0.02,6.06
2022-09-04,32.27,54.49,0.0,6.15
2022-09-05,31.55,58.8,0.01,6.08
2022-09-06,31.61,56.12,0.0,5.55
2022-09-07,31.75,54.5,0.01,5.96
2022-09-08,31.54,54.59,0.0,5.4
2022-09-09,32.1,53.74,0.08,4.71
2022-09-10,31.64,64.66,1.86,4.17
2022-09-11,31.62,64.72,1.01,5.19
2022-09-12,30.95,62.24,1.76,5.36
2022-09-13,30.73,61.87,1.6,5.16
2022-09-14,29.77,65.89,4.81,3.09
2022-09-15,28.19,76.01,2.86,2.4
2022-09-16,27.86,75.41,14.26,1.71
2022-09-17,29.83,66.06,1.02,4.82
2022-09-18,30.1,60.77,1.05,4.91
2022-09-19,29.85,59.84,4.35,3.3
2022-09-20,29.74,70.55,13.32,3.52
2022-09-21,29.0,75.58,13.92,2.41
2022-09-22,27.74,85.81,67.56,1.56
2022-09-23,26.77,89.8,31.64,1.67
2022-09-24,26.37,90.44,44.39,1.09
2022-09-25,27.3,81.64,6.33,3.16
2022-09-26,26.81,81.53,0.26,4.68
2022-09-27,27.03,76.95,0.0,5.33
2022-09-28,27.31,75.59,0.01,5.23
2022-09-29,26.97,76.81,0.0,5.17
2022-09-30,26.54,77.2,0.0,4.95
2022-10-01,26.9,73.27,0.0,5.13
2022-10-02,26.7,69.0,0.0,5.43
2022-10-03,25.52,70.35,0.0,5.65
2022-10-04,26.04,69.39,0.0,4.99
2022-10-05,27.42,70.49,0.05,3.95
2022-10-06,25.69,82.71,0.14,3.61
2022-10-07,24.84,87.9,4.83,1.81
2022-10-08,24.17,92.11,15.86,1.2
2022-10-09,23.96,94.02,56.75,1.54
2022-10-10,24.6,87.3,8.01,1.75
2022-10-11,24.84,81.76,7.49,3.73
2022-10-12,23.61,80.25,2.53,4.76
2022-10-13,23.37,73.68,0.0,5.2
2022-10-14,22.9,70.61,0.0,5.01
2022-10-15,23.6,66.77,0.0,5.02
2022-10-16,23.92,62.89,0.0,4.8
2022-10-17,23.34,62.54,0.0,4.91
2022-10-18,23.3,59.09,0.0,4.8
2022-10-19,22.89,63.84,0.0,5.03
2022-10-20,22.76,68.25,0.0,4.77
2022-10-21,23.52,58.88,0.0,4.91
2022-10-22,22.26,61.38,0.0,4.59
2022-10-23,21.87,56.93,0.0,4.51
2022-10-24,21.41,60.43,0.0,4.82
2022-10-25,21.83,56.82,0.0,4.55
2022-10-26,23.07,52.64,0.0,4.68
2022-10-27,22.81,57.43,0.0,4.46
2022-10-28,22.69,59.15,0.0,4.25
2022-10-29,22.54,57.41,0.0,3.66
2022-10-30,22.02,53.97,0.0,3.91
2022-10-31,21.62,60.66,0.0,4.01
2022-11-01,22.31,65.85,0.0,3.97
2022-11-02,22.1,69.76,0.0,4.13
2022-11-03,22.07,66.26,0.0,3.39
2022-11-04,22.65,68.99,0.0,3.49
2022-11-05,21.19,83.43,0.0,3.51
2022-11-06,22.41,80.9,0.0,3.82
2022-11-07,23.22,77.93,0.0,3.96
2022-11-08,21.76,75.58,0.01,2.83
2022-11-09,21.72,71.89,0.01,3.3
2022-11-10,21.57,70.12,0.01,3.19
2022-11-11,19.24,66.01,0.0,3.52
2022-11-12,18.99,59.07,0.0,4.19
2022-11-13,19.08,58.59,0.0,3.94
2022-11-14,19.75,61.92,0.0,3.81
2022-11-15,19.41,70.4,0.0,3.49
2022-11-16,18.37,65.83,0.0,3.53
2022-11-17,17.21,61.77,0.0,3.86
2022-11-18,17.02,55.46,0.0,4.08
2022-11-19,17.15,53.51,0.0,3.87
2022-11-20,16.79,57.42,0.0,3.76
2022-11-21,17.33,59.64,0.0,3.97
2022-11-22,16.81,51.33,0.0,4.07
2022-11-23,16.3,47.53,0.0,4.11
2022-11-24,17.54,42.89,0.0,4.01
2022-11-25,18.61,42.3,0.0,4.06
2022-11-26,16.96,49.89,0.0,3.76
2022-11-27,17.35,45.79,0.0,3.78
2022-11-28,17.63,46.58,0.0,3.61
2022-11-29,17.89,46.03,0.0,3.4
2022-11-30,17.09,55.36,0.0,3.26
2022-12-01,17.08,51.32,0.0,3.47
2022-12-02,17.59,49.07,0.0,3.32
2022-12-03,17.37,53.65,0.0,3.09
2022-12-04,17.3,52.03,0.0,2.81
2022-12-05,16.54,46.4,0.0,3.47
2022-12-06,14.74,51.22,0.0,3.59
2022-12-07,14.23,49.64,0.0,3.76
2022-12-08,15.54,49.17,0.0,3.68
2022-12-09,17.69,46.74,0.0,3.59
2022-12-10,17.49,56.89,0.0,3.54
2022-12-11,16.92,58.13,0.0,3.72
2022-12-12,16.57,54.47,0.0,3.91
2022-12-13,16.12,52.13,0.0,4.0
2022-12-14,14.58,52.47,0.0,4.07
2022-12-15,13.91,45.17,0.0,4.08
2022-12-16,15.03,44.17,0.0,3.96
2022-12-17,15.88,39.38,0.0,3.73
2022-12-18,15.66,41.93,0.0,3.27
2022-12-19,15.13,46.46,0.0,2.79
2022-12-20,14.48,49.0,0.0,2.89
2022-12-21,13.81,51.35,0.0,2.78
2022-12-22,12.19,54.58,0.0,2.65
2022-12-23,12.21,55.29,0.0,2.63
2022-12-24,11.03,55.89,0.0,2.92
2022-12-25,9.79,54.45,0.0,2.87
2022-12-26,10.95,54.88,0.0,1.78
2022-12-27,11.42,49.64,0.0,2.88
2022-12-28,12.84,44.24,0.0,3.76
2022-12-29,14.57,49.06,0.0,3.03
2022-12-30,14.99,57.46,0.01,2.27
2022-12-31,12.6,64.88,0.0,2.92
2023-01-01,12.88,48.39,0.0,2.98
2023-01-02,12.74,45.95,0.0,1.9
2023-01-03,10.34,47.89,0.0,1.69
2023-01-04,8.73,51.85,0.0,1.83
2023-01-05,9.46,52.34,0.0,1.81
2023-01-06,9.74,47.54,0.0,2.21
2023-01-07,10.34,40.89,0.0,2.9
2023-01-08,12.65,38.2,0.0,2.58
2023-01-09,13.52,42.39,0.0,2.09
2023-01-10,13.07,50.63,0.0,2.45
2023-01-11,14.32,59.87,0.5,2.45
2023-01-12,14.04,73.58,16.96,3.16
2023-01-13,15.57,74.07,0.08,2.19
2023-01-14,10.66,44.64,0.01,2.62
2023-01-15,7.52,35.18,0.0,4.36
2023-01-16,8.89,37.55,0.0,4.12
2023-01-17,8.99,37.07,0.0,4.1
2023-01-18,9.86,32.2,0.0,4.04
2023-01-19,11.58,42.57,0.11,3.62
2023-01-20,12.22,60.02,0.08,3.07
2023-01-21,13.8,59.2,0.0,2.84
2023-01-22,14.08,57.97,0.0,2.64
2023-01-23,15.44,54.81,0.1,2.85
2023-01-24,15.66,78.78,1.28,1.43
2023-01-25,14.58,72.02,0.02,0.98
2023-01-26,12.54,53.04,0.0,1.58
2023-01-27,10.92,45.03,0.0,3.88
2023-01-28,12.93,37.95,0.0,4.69
2023-01-29,13.55,50.62,0.39,0.89
2023-01-30,12.88,75.94,16.59,2.0
2023-01-31,13.69,75.3,0.0,3.44
2023-02-01,12.69,58.91,0.0,4.73
2023-02-02,14.09,50.35,0.0,4.84
2023-02-03,15.3,45.67,0.0,4.61
2023-02-04,16.42,47.18,0.0,4.75
2023-02-05,17.24,52.46,0.0,4.69
2023-02-06,18.81,44.9,0.0,4.65
2023-02-07,16.74,48.3,0.0,4.44
2023-02-08,16.03,39.57,0.0,4.97
2023-02-09,18.47,35.38,0.0,4.81
2023-02-10,18.96,50.67,0.0,4.79
2023-02-11,17.99,47.39,0.0,4.2
2023-02-12,14.16,37.22,0.0,5.14
2023-02-13,14.29,27.38,0.0,5.53
2023-02-14,16.84,28.79,0.0,5.11
2023-02-15,18.81,37.0,0.0,5.16
2023-02-16,19.44,44.57,0.0,4.58
2023-02-17,21.36,44.19,0.0,4.13
2023-02-18,21.75,34.32,0.0,4.77
2023-02-19,22.73,27.51,0.0,4.53
2023-02-20,22.79,34.34,0.0,5.01
2023-02-21,20.67,35.42,0.0,5.19
2023-02-22,19.96,38.41,0.0,4.07
2023-02-23,19.75,33.9,0.0,5.45
2023-02-24,20.31,32.74,0.0,4.86
2023-02-25,22.05,33.83,0.0,5.26
2023-02-26,23.06,33.5,0.0,5.12
2023-02-27,23.51,34.88,0.0,5.04
2023-02-28,22.61,38.29,0.0,4.73
2023-03-01,22.58,38.58,0.01,4.12
2023-03-02,22.77,41.35,0.01,5.23
2023-03-03,23.54,43.17,0.0,5.41
2023-03-04,22.65,39.97,0.0,3.49
2023-03-05,22.67,39.8,0.0,5.54
